,train,val,test
0,bfd320d3,fc671377,F23402E5
1,E9BB41BE,69e0e4d9,715a6d3c
2,bbd79ced,eac31fe2,67cc16d6
3,9674290b,0a5231b0,4db19cdf
4,d6248cf8,794eb92f,FC5811FB
5,38d515b4,3EF3DECB,a531abb4
6,81f8b962,35a3f505,46854f1c
7,9d583339,97ce4fa4,FC717D92
8,8225cfd4,ceef08c2,3B036C1D
9,43959e95,638c8e8b,87A6A24E
10,53D2B035,6DB22AEA,b36f9bd5
11,2caeb5df,7B74D046,b037f17b
12,8FA7DFCD,9B227E1C,8bac7e59
13,13afd793,9fca6a91,38cdb806
14,F2848BBF,f62e1d32,84C9CCDE
15,95280216,EEA2C1E0,1F0E0B47
16,a06c9ca5,2E194BF6,bf87760d
17,206c2817,1e9a856a,b52a09b0
18,bbfb3f8b,98cb6ac9,1CA26D07
19,a2f02c84,887252E8,7DE86788
20,b85a8293,c08eeafe,55bba0a1
21,1bd1c720,75AA0FB8,44100402
22,D473A2D2,9C306902,47D39794
23,69196ce3,12a9fb4e,71ddeb47
24,6d933fa1,48fbc5d2,18c475a1
25,dc5b8d77,4276ecc3,ADD3D7FE
26,f6512c55,357ab4bd,ca503755
27,85c55ab4,7e206961,b3511f16
28,6a238433,B944523E,E724E339
29,681dd573,d0dbc3f3,a5c24186
30,560b8f9f,56cfd26c,3b9a2273
31,f386e709,615c638d,68cf009b
32,67e52764,7C8DAACB,5ada8b8e
33,47624bec,65794348,6ac6fcb6
34,c7b1827d,9076806D,29d32315
35,01a24641,3abac01c,10f8cd5e
36,39FD616C,F5625E6F,3f676d40
37,bddd6316,1b685a91,954b3034
38,f79ddc05,d66c8a3b,1e6bb223
39,E437BB00,022F845F,372B4225
40,3501F4D9,486396b5,d8a5f4f9
41,71713A92,4da187d6,d974c34b
42,5D6F4225,85bc950b,140EAE71
43,53f1ec0a,938861e3,c13d841b
44,996B7B9A,336165F7,30906c32
45,E8C5CA5A,789de56b,565F5F92
46,ea0763b1,3d9c2588,87f21980
47,bf067de8,3ff31173,300c3ae5
48,FAD9A2F0,8ea2278c,fbadb1d7
49,3ed3ae76,a455181a,f84b4982
50,1CC3099A,55c88092,ABA46896
51,39B363CD,F9FDAB2C,866ea89f
52,C6853BCF,1106521B,afdee2d7
53,58C308CD,83625891,CB5F5330
54,E853A155,35E063D3,13E1C61C
55,45890D8B,5826ea77,E6434A29
56,C63E8820,BAEA4392,7275EEF1
57,17a6b1da,BE2C0D9F,3a375f5f
58,3c2ee8f6,3508B4AD,EC2C42B5
59,E44DEEAC,B16A8F4B,78306056
60,48a5a3fc,D5284A3E,d99a7299
61,751b1107,bc0857e2,85fe33f4
62,c0aa462a,3AEF89FD,fdcc3157
63,ea5f7fc4,EAA44029,830e3f78
