,train,val,test
0,E9BB41BE,6fe545db,05400469
1,bbd79ced,3f676d40,95280216
2,10f8cd5e,9eb12eba,866ea89f
3,ca503755,39B363CD,71ddeb47
4,38d515b4,d0314896,7b5ab331
5,81f8b962,a907179e,789de56b
6,9d583339,49d7d740,d974c34b
7,43959e95,96ee3f26,5F2DDC1A
8,2caeb5df,54e2bdc1,38cdb806
9,4da187d6,87f21980,954b3034
10,13afd793,2c11c70b,6EE9797B
11,F2848BBF,140EAE71,4c3b083b
12,938861e3,be26bdc8,81E7420E
13,a06c9ca5,e2bbe417,4769C9A7
14,206c2817,b584d650,7796AE2F
15,bbfb3f8b,e27fcaa7,b40b5355
16,b85a8293,64CF8817,97ce4fa4
17,1bd1c720,8FA7DFCD,CC86884F
18,69196ce3,ABA46896,a455181a
19,6d933fa1,a2f02c84,2451bdbc
20,9fca6a91,8225cfd4,d8a5f4f9
21,85c55ab4,1bc4a76e,659CD853
22,6a238433,45952baf,116A7D3A
23,681dd573,b6b950fb,cce78224
24,560b8f9f,1d30af81,E8C5CA5A
25,f386e709,5D6F4225,3e5b4737
26,67e52764,55205080,1eb3086c
27,47624bec,7d4f557d,76B5A794
28,c7b1827d,53D2B035,14E6C96C
29,01a24641,F5625E6F,9B227E1C
30,39FD616C,8fdfe3f1,7ba4c0f1
31,65794348,A762AB76,68cf009b
32,bddd6316,80afb4f3,d6248cf8
33,f79ddc05,1CC3099A,4CD542E0
34,E437BB00,ADA07C08,d7e04665
35,3501F4D9,bf067de8,861325d7
36,71713A92,D473A2D2,28896ee1
37,996B7B9A,3e999548,67cc16d6
38,ea0763b1,FC717D92,6a40609b
39,FAD9A2F0,3B036C1D,be4a0246
40,3ed3ae76,87A6A24E,e954ae94
41,84C9CCDE,1F0E0B47,e3affffd
42,C6853BCF,979ac1bc,14bd85dc
43,58C308CD,f2aac4d2,2738922d
44,E853A155,b36f9bd5,9674290b
45,45890D8B,66F5343A,369e0c80
46,022F845F,638c8e8b,3abac01c
47,C63E8820,486396b5,9834000b
48,17a6b1da,eac31fe2,dc8a5519
49,3c2ee8f6,dc5b8d77,53f1ec0a
50,E44DEEAC,f6512c55,bfd320d3
51,48a5a3fc,5A010A2C,bc0857e2
52,751b1107,09207440,CB5F5330
53,d0dbc3f3,31aff50a,d99a7299
54,c0aa462a,4EB39EA8,BDC7C35E
55,ea5f7fc4,497ddcb5,0fe86143
56,07c9ab3f,82CBD529,57A47A81
57,44100402,971BE7D3,46835CE2
58,0F0EECE2,CD2CCA5D,A97D876A
59,B27E1027,7410A3EA,FA31AC9B
60,70d1897f,830e3f78,D5284A3E
61,55bba0a1,ABF28359,4AE64138
62,b74b690e,0D9559B0,E89BEA4D
